Infty GT-Data Format Ver.1.1
Sheet,1,AIF_1970_20_493.png,-1
Text,1,116,411,996,559
Line,1,118,411,996,471
Chardata,1,118,416,159,463,0,-1,-1,0141
Chardata,2,164,428,197,462,0,-1,1,016E
Chardata,3,201,428,234,461,0,-1,2,016E
Chardata,4,239,453,249,464,0,-1,3,142E
Chardata,5,250,411,285,471,0,-1,4,0E81
Chardata,6,286,413,305,460,0,-1,5,0149
Text,2,116,411,996,559
Line,2,118,411,996,471
Chardata,12,164,428,197,462,0,-1,1,016E
Chardata,13,201,428,234,461,0,-1,2,016E
Chardata,14,239,453,249,464,0,-1,3,142E
Chardata,15,250,411,285,471,0,-1,4,0E81
Chardata,16,286,413,305,460,0,-1,5,0149
Text,3,116,411,996,559
Line,3,118,411,996,471
Chardata,31,201,428,234,461,0,-1,2,016E
Chardata,41,239,453,249,464,0,-1,3,142E
Chardata,51,250,411,285,471,0,-1,4,0E81
Chardata,61,286,413,305,460,0,-1,5,0149
Sheet,2,AIF_1970_20_494.png,-1
Text,4,116,411,996,559
Line,4,118,411,996,471
Chardata,22,164,428,197,462,0,-1,1,016E
Chardata,23,201,428,234,461,0,-1,2,016E
Chardata,24,239,453,249,464,0,-1,3,142E
Chardata,25,250,411,285,471,0,-1,4,0E81
Chardata,26,286,413,305,460,0,-1,5,0149
Text,5,116,411,996,559
Line,5,118,411,996,471
Chardata,33,201,428,234,461,0,-1,2,016E
Chardata,34,239,453,249,464,0,-1,3,142E
Chardata,35,250,411,285,471,0,-1,4,0E81
Chardata,36,286,413,305,460,0,-1,5,0149
